caseID;taskID;originator;eventtype;timestamp;defectType;phoneType;numberRepairs;defectFixed;
102;Test Repair;Tester6;complete;03-01-1970 13:41:00;;;0;true;
102;Archive Repair;System;complete;03-01-1970 13:49:00;;;0;true;
103;Register;System;complete;03-01-1970 01:41:00;;;;;
103;Analyze Defect;Tester2;start;03-01-1970 01:41:00;;;;;
103;Analyze Defect;Tester2;complete;03-01-1970 01:49:00;10;T1;;;
103;Repair (Complex);SolverC2;start;03-01-1970 02:15:00;;;;;
103;Repair (Complex);SolverC2;complete;03-01-1970 02:34:00;;;;;
103;Test Repair;Tester3;start;03-01-1970 02:34:00;;;;;
103;Inform User;System;complete;03-01-1970 02:37:00;;;;;
103;Test Repair;Tester3;complete;03-01-1970 02:39:00;;;0;true;
103;Archive Repair;System;complete;03-01-1970 02:46:00;;;0;true;
104;Register;System;complete;04-01-1970 14:29:00;;;;;
104;Analyze Defect;Tester6;start;04-01-1970 14:29:00;;;;;
104;Analyze Defect;Tester6;complete;04-01-1970 14:37:00;6;T2;;;
104;Repair (Complex);SolverC2;start;04-01-1970 14:44:00;;;;;
104;Repair (Complex);SolverC2;complete;04-01-1970 15:02:00;;;;;
104;Test Repair;Tester5;start;04-01-1970 15:02:00;;;;;
104;Test Repair;Tester5;complete;04-01-1970 15:08:00;;;0;true;
104;Inform User;System;complete;04-01-1970 15:25:00;;;;;
104;Archive Repair;System;complete;04-01-1970 15:25:00;;;0;true;
105;Register;System;complete;03-01-1970 03:16:00;;;;;
105;Analyze Defect;Tester4;start;03-01-1970 03:16:00;;;;;
105;Analyze Defect;Tester4;complete;03-01-1970 03:22:00;9;T1;;;
105;Repair (Complex);SolverC3;start;03-01-1970 03:40:00;;;;;
105;Inform User;System;complete;03-01-1970 04:00:00;;;;;
105;Repair (Complex);SolverC3;complete;03-01-1970 04:29:00;;;;;
105;Test Repair;Tester2;start;03-01-1970 04:29:00;;;;;
105;Test Repair;Tester2;complete;03-01-1970 04:39:00;;;0;true;
105;Archive Repair;System;complete;03-01-1970 04:44:00;;;0;true;
106;Register;System;complete;03-01-1970 17:58:00;;;;;
106;Analyze Defect;Tester3;start;03-01-1970 17:58:00;;;;;
106;Analyze Defect;Tester3;complete;03-01-1970 18:05:00;4;T1;;;
106;Repair (Simple);SolverS2;start;03-01-1970 18:10:00;;;;;
106;Inform User;System;complete;03-01-1970 18:20:00;;;;;
106;Repair (Simple);SolverS2;complete;03-01-1970 18:23:00;;;;;
106;Test Repair;Tester6;start;03-01-1970 18:23:00;;;;;
106;Test Repair;Tester6;complete;03-01-1970 18:33:00;;;1;true;
106;Archive Repair;System;complete;03-01-1970 18:38:00;;;1;true;
107;Register;System;complete;03-01-1970 08:58:00;;;;;
107;Analyze Defect;Tester3;start;03-01-1970 08:58:00;;;;;
107;Analyze Defect;Tester3;complete;03-01-1970 09:05:00;5;T3;;;
107;Repair (Simple);SolverS3;start;03-01-1970 09:10:00;;;;;
107;Inform User;System;complete;03-01-1970 09:24:00;;;;;
107;Repair (Simple);SolverS3;complete;03-01-1970 09:28:00;;;;;
107;Test Repair;Tester1;start;03-01-1970 09:28:00;;;;;
107;Test Repair;Tester1;complete;03-01-1970 09:34:00;;;1;true;
107;Archive Repair;System;complete;03-01-1970 09:43:00;;;1;true;
108;Register;System;complete;04-01-1970 12:12:00;;;;;
108;Analyze Defect;Tester3;start;04-01-1970 12:12:00;;;;;
108;Analyze Defect;Tester3;complete;04-01-1970 12:19:00;7;T1;;;
108;Repair (Complex);SolverC3;start;04-01-1970 12:27:00;;;;;
108;Inform User;System;complete;04-01-1970 12:35:00;;;;;
108;Repair (Complex);SolverC3;complete;04-01-1970 13:07:00;;;;;
108;Test Repair;Tester1;start;04-01-1970 13:07:00;;;;;
108;Test Repair;Tester1;complete;04-01-1970 13:13:00;;;0;true;
108;Archive Repair;System;complete;04-01-1970 13:20:00;;;0;true;
109;Register;System;complete;03-01-1970 05:10:00;;;;;
109;Analyze Defect;Tester6;start;03-01-1970 05:10:00;;;;;
109;Analyze Defect;Tester6;complete;03-01-1970 05:15:00;6;T3;;;
109;Repair (Simple);SolverS2;start;03-01-1970 05:36:00;;;;;
109;Repair (Simple);SolverS2;complete;03-01-1970 05:45:00;;;;;
109;Test Repair;Tester5;start;03-01-1970 05:45:00;;;;;
109;Test Repair;Tester5;complete;03-01-1970 05:52:00;;;1;false;
109;Inform User;System;complete;03-01-1970 05:57:00;;;;;
109;Restart Repair;System;complete;03-01-1970 06:01:00;;;;;
109;Repair (Simple);SolverS1;start;03-01-1970 06:01:00;;;;;
109;Repair (Simple);SolverS1;complete;03-01-1970 06:06:00;;;;;
109;Test Repair;Tester3;start;03-01-1970 06:06:00;;;;;
109;Test Repair;Tester3;complete;03-01-1970 06:14:00;;;2;false;
109;Restart Repair;System;complete;03-01-1970 06:21:00;;;;;
109;Repair (Complex);SolverC2;start;03-01-1970 06:21:00;;;;;
109;Repair (Complex);SolverC2;complete;03-01-1970 06:39:00;;;;;
109;Test Repair;Tester5;start;03-01-1970 06:39:00;;;;;
109;Test Repair;Tester5;complete;03-01-1970 06:46:00;;;2;true;
109;Archive Repair;System;complete;03-01-1970 06:53:00;;;2;true;
11;Register;System;complete;02-01-1970 11:51:00;;;;;
11;Analyze Defect;Tester1;start;02-01-1970 11:51:00;;;;;
11;Analyze Defect;Tester1;complete;02-01-1970 11:58:00;10;T3;;;
11;Repair (Complex);SolverC3;start;02-01-1970 12:04:00;;;;;
11;Inform User;System;complete;02-01-1970 12:16:00;;;;;
11;Repair (Complex);SolverC3;complete;02-01-1970 12:52:00;;;;;
11;Test Repair;Tester2;start;02-01-1970 12:52:00;;;;;
11;Test Repair;Tester2;complete;02-01-1970 13:01:00;;;0;true;
11;Archive Repair;System;complete;02-01-1970 13:06:00;;;0;true;
110;Register;System;complete;03-01-1970 08:23:00;;;;;
110;Analyze Defect;Tester1;start;03-01-1970 08:23:00;;;;;
110;Analyze Defect;Tester1;complete;03-01-1970 08:32:00;10;T3;;;
110;Repair (Complex);SolverC2;start;03-01-1970 08:52:00;;;;;
110;Inform User;System;complete;03-01-1970 08:53:00;;;;;
110;Repair (Complex);SolverC2;complete;03-01-1970 09:05:00;;;;;
110;Test Repair;Tester6;start;03-01-1970 09:05:00;;;;;
110;Test Repair;Tester6;complete;03-01-1970 09:14:00;;;0;true;
110;Archive Repair;System;complete;03-01-1970 09:23:00;;;0;true;
111;Register;System;complete;03-01-1970 05:02:00;;;;;
111;Analyze Defect;Tester5;start;03-01-1970 05:02:00;;;;;
111;Analyze Defect;Tester5;complete;03-01-1970 05:11:00;6;T2;;;
111;Inform User;System;complete;03-01-1970 05:34:00;;;;;
111;Repair (Complex);SolverC3;start;03-01-1970 05:40:00;;;;;
111;Repair (Complex);SolverC3;complete;03-01-1970 06:29:00;;;;;
111;Test Repair;Tester1;start;03-01-1970 06:29:00;;;;;
111;Test Repair;Tester1;complete;03-01-1970 06:38:00;;;0;true;
111;Archive Repair;System;complete;03-01-1970 06:43:00;;;0;true;
112;Register;System;complete;03-01-1970 23:54:00;;;;;
112;Analyze Defect;Tester3;start;03-01-1970 23:54:00;;;;;
112;Analyze Defect;Tester3;complete;03-01-1970 23:59:00;7;T2;;;
112;Repair (Complex);SolverC2;start;04-01-1970 00:01:00;;;;;
112;Repair (Complex);SolverC2;complete;04-01-1970 00:15:00;;;;;
112;Test Repair;Tester1;start;04-01-1970 00:15:00;;;;;
112;Test Repair;Tester1;complete;04-01-1970 00:21:00;;;0;true;
112;Inform User;System;complete;04-01-1970 00:35:00;;;;;
112;Archive Repair;System;complete;04-01-1970 00:35:00;;;0;true;
113;Register;System;complete;04-01-1970 14:55:00;;;;;
113;Analyze Defect;Tester2;start;04-01-1970 14:55:00;;;;;
113;Analyze Defect;Tester2;complete;04-01-1970 15:01:00;6;T3;;;
113;Repair (Simple);SolverS2;start;04-01-1970 15:09:00;;;;;
113;Repair (Simple);SolverS2;complete;04-01-1970 15:16:00;;;;;
113;Test Repair;Tester5;start;04-01-1970 15:16:00;;;;;
113;Test Repair;Tester5;complete;04-01-1970 15:22:00;;;1;false;
113;Restart Repair;System;complete;04-01-1970 15:27:00;;;;;
113;Repair (Complex);SolverC1;start;04-01-1970 15:27:00;;;;;
113;Inform User;System;complete;04-01-1970 15:37:00;;;;;
113;Repair (Complex);SolverC1;complete;04-01-1970 15:41:00;;;;;
113;Test Repair;Tester5;start;04-01-1970 15:41:00;;;;;
113;Test Repair;Tester5;complete;04-01-1970 15:51:00;;;1;true;
113;Archive Repair;System;complete;04-01-1970 15:59:00;;;1;true;
114;Register;System;complete;03-01-1970 06:59:00;;;;;
114;Analyze Defect;Tester3;start;03-01-1970 06:59:00;;;;;
114;Analyze Defect;Tester3;complete;03-01-1970 07:07:00;5;T3;;;
114;Repair (Simple);SolverS3;start;03-01-1970 07:23:00;;;;;
114;Repair (Simple);SolverS3;complete;03-01-1970 07:33:00;;;;;
114;Test Repair;Tester2;start;03-01-1970 07:33:00;;;;;
114;Test Repair;Tester2;complete;03-01-1970 07:40:00;;;1;true;
114;Inform User;System;complete;03-01-1970 07:50:00;;;;;
114;Archive Repair;System;complete;03-01-1970 07:50:00;;;1;true;
115;Register;System;complete;04-01-1970 06:30:00;;;;;
115;Analyze Defect;Tester4;start;04-01-1970 06:30:00;;;;;
115;Analyze Defect;Tester4;complete;04-01-1970 06:35:00;4;T1;;;
115;Repair (Simple);SolverS3;start;04-01-1970 06:44:00;;;;;
115;Inform User;System;complete;04-01-1970 06:50:00;;;;;
115;Repair (Simple);SolverS3;complete;04-01-1970 06:56:00;;;;;
115;Test Repair;Tester4;start;04-01-1970 06:56:00;;;;;
115;Test Repair;Tester4;complete;04-01-1970 07:04:00;;;1;true;
115;Archive Repair;System;complete;04-01-1970 07:09:00;;;1;true;
116;Register;System;complete;04-01-1970 07:34:00;;;;;
116;Analyze Defect;Tester5;start;04-01-1970 07:34:00;;;;;
116;Analyze Defect;Tester5;complete;04-01-1970 07:41:00;2;T2;;;
116;Repair (Simple);SolverS3;start;04-01-1970 07:48:00;;;;;
116;Inform User;System;complete;04-01-1970 08:02:00;;;;;
116;Repair (Simple);SolverS3;complete;04-01-1970 08:07:00;;;;;
116;Test Repair;Tester1;start;04-01-1970 08:07:00;;;;;
116;Test Repair;Tester1;complete;04-01-1970 08:13:00;;;1;true;
116;Archive Repair;System;complete;04-01-1970 08:19:00;;;1;true;
117;Register;System;complete;03-01-1970 12:29:00;;;;;
117;Analyze Defect;Tester2;start;03-01-1970 12:29:00;;;;;
117;Analyze Defect;Tester2;complete;03-01-1970 12:36:00;7;T2;;;
117;Repair (Complex);SolverC2;start;03-01-1970 13:06:00;;;;;
117;Inform User;System;complete;03-01-1970 13:10:00;;;;;
117;Repair (Complex);SolverC2;complete;03-01-1970 13:26:00;;;;;
117;Test Repair;Tester3;start;03-01-1970 13:26:00;;;;;
117;Test Repair;Tester3;complete;03-01-1970 13:33:00;;;0;true;
117;Archive Repair;System;complete;03-01-1970 13:40:00;;;0;true;
118;Register;System;complete;03-01-1970 18:30:00;;;;;
118;Analyze Defect;Tester4;start;03-01-1970 18:30:00;;;;;
118;Analyze Defect;Tester4;complete;03-01-1970 18:35:00;4;T1;;;
118;Repair (Simple);SolverS1;start;03-01-1970 18:51:00;;;;;
118;Repair (Simple);SolverS1;complete;03-01-1970 18:57:00;;;;;
118;Test Repair;Tester4;start;03-01-1970 18:57:00;;;;;
118;Test Repair;Tester4;complete;03-01-1970 19:02:00;;;1;false;
118;Inform User;System;complete;03-01-1970 19:04:00;;;;;
118;Restart Repair;System;complete;03-01-1970 19:09:00;;;;;
118;Repair (Simple);SolverS3;start;03-01-1970 19:09:00;;;;;
118;Repair (Simple);SolverS3;complete;03-01-1970 19:27:00;;;;;
118;Test Repair;Tester1;start;03-01-1970 19:27:00;;;;;
118;Test Repair;Tester1;complete;03-01-1970 19:33:00;;;2;true;
118;Archive Repair;System;complete;03-01-1970 19:40:00;;;2;true;
119;Register;System;complete;04-01-1970 16:22:00;;;;;
119;Analyze Defect;Tester5;start;04-01-1970 16:22:00;;;;;
119;Analyze Defect;Tester5;complete;04-01-1970 16:31:00;6;T2;;;
119;Inform User;System;complete;04-01-1970 16:46:00;;;;;
119;Repair (Complex);SolverC1;start;04-01-1970 16:51:00;;;;;
119;Repair (Complex);SolverC1;complete;04-01-1970 17:01:00;;;;;
119;Test Repair;Tester3;start;04-01-1970 17:01:00;;;;;
119;Test Repair;Tester3;complete;04-01-1970 17:07:00;;;0;true;
119;Archive Repair;System;complete;04-01-1970 17:14:00;;;0;true;
12;Register;System;complete;01-01-1970 10:12:00;;;;;
12;Analyze Defect;Tester4;start;01-01-1970 10:12:00;;;;;
12;Analyze Defect;Tester4;complete;01-01-1970 10:22:00;2;T3;;;
12;Repair (Simple);SolverS1;start;01-01-1970 10:37:00;;;;;
12;Repair (Simple);SolverS1;complete;01-01-1970 10:44:00;;;;;
12;Test Repair;Tester1;start;01-01-1970 10:44:00;;;;;
12;Test Repair;Tester1;complete;01-01-1970 10:54:00;;;1;false;
12;Restart Repair;System;complete;01-01-1970 11:02:00;;;;;
12;Repair (Simple);SolverS3;start;01-01-1970 11:02:00;;;;;
12;Inform User;System;complete;01-01-1970 11:10:00;;;;;
12;Repair (Simple);SolverS3;complete;01-01-1970 11:19:00;;;;;
12;Test Repair;Tester3;start;01-01-1970 11:19:00;;;;;
12;Test Repair;Tester3;complete;01-01-1970 11:26:00;;;2;true;
12;Archive Repair;System;complete;01-01-1970 11:36:00;;;2;true;
120;Register;System;complete;03-01-1970 09:10:00;;;;;
120;Analyze Defect;Tester1;start;03-01-1970 09:10:00;;;;;
120;Analyze Defect;Tester1;complete;03-01-1970 09:19:00;7;T2;;;
120;Repair (Complex);SolverC3;start;03-01-1970 09:29:00;;;;;
120;Inform User;System;complete;03-01-1970 09:46:00;;;;;
120;Repair (Complex);SolverC3;complete;03-01-1970 10:13:00;;;;;
120;Test Repair;Tester3;start;03-01-1970 10:13:00;;;;;
120;Test Repair;Tester3;complete;03-01-1970 10:21:00;;;0;true;
120;Archive Repair;System;complete;03-01-1970 10:29:00;;;0;true;
121;Register;System;complete;04-01-1970 08:35:00;;;;;
121;Analyze Defect;Tester5;start;04-01-1970 08:35:00;;;;;
121;Analyze Defect;Tester5;complete;04-01-1970 08:42:00;7;T3;;;
121;Repair (Complex);SolverC1;start;04-01-1970 08:56:00;;;;;
121;Repair (Complex);SolverC1;complete;04-01-1970 09:10:00;;;;;
121;Test Repair;Tester3;start;04-01-1970 09:10:00;;;;;
121;Test Repair;Tester3;complete;04-01-1970 09:19:00;;;0;true;
121;Inform User;System;complete;04-01-1970 09:30:00;;;;;
121;Archive Repair;System;complete;04-01-1970 09:30:00;;;0;true;
122;Register;System;complete;04-01-1970 07:27:00;;;;;
122;Analyze Defect;Tester6;start;04-01-1970 07:27:00;;;;;
122;Analyze Defect;Tester6;complete;04-01-1970 07:34:00;2;T1;;;
122;Repair (Simple);SolverS1;start;04-01-1970 07:50:00;;;;;
122;Repair (Simple);SolverS1;complete;04-01-1970 07:55:00;;;;;
122;Test Repair;Tester5;start;04-01-1970 07:55:00;;;;;
122;Inform User;System;complete;04-01-1970 07:56:00;;;;;
122;Test Repair;Tester5;complete;04-01-1970 08:04:00;;;1;false;
122;Restart Repair;System;complete;04-01-1970 08:13:00;;;;;
122;Repair (Simple);SolverS1;start;04-01-1970 08:13:00;;;;;
122;Repair (Simple);SolverS1;complete;04-01-1970 08:19:00;;;;;
122;Test Repair;Tester5;start;04-01-1970 08:19:00;;;;;
122;Test Repair;Tester5;complete;04-01-1970 08:29:00;;;2;false;
122;Restart Repair;System;complete;04-01-1970 08:37:00;;;;;
122;Repair (Simple);SolverS3;start;04-01-1970 08:37:00;;;;;
122;Repair (Simple);SolverS3;complete;04-01-1970 08:57:00;;;;;
122;Test Repair;Tester1;start;04-01-1970 08:57:00;;;;;
122;Test Repair;Tester1;complete;04-01-1970 09:05:00;;;3;true;
122;Archive Repair;System;complete;04-01-1970 09:14:00;;;3;true;
123;Register;System;complete;04-01-1970 09:58:00;;;;;
123;Analyze Defect;Tester5;start;04-01-1970 09:58:00;;;;;
123;Analyze Defect;Tester5;complete;04-01-1970 10:08:00;9;T3;;;
123;Repair (Complex);SolverC3;start;04-01-1970 10:23:00;;;;;
123;Inform User;System;complete;04-01-1970 10:56:00;;;;;
123;Repair (Complex);SolverC3;complete;04-01-1970 11:12:00;;;;;
123;Test Repair;Tester3;start;04-01-1970 11:12:00;;;;;
123;Test Repair;Tester3;complete;04-01-1970 11:18:00;;;0;true;
123;Archive Repair;System;complete;04-01-1970 11:24:00;;;0;true;
124;Register;System;complete;04-01-1970 18:26:00;;;;;
124;Analyze Defect;Tester6;start;04-01-1970 18:26:00;;;;;
124;Analyze Defect;Tester6;complete;04-01-1970 18:32:00;4;T3;;;
124;Repair (Simple);SolverS3;start;04-01-1970 18:51:00;;;;;
124;Inform User;System;complete;04-01-1970 19:09:00;;;;;
124;Repair (Simple);SolverS3;complete;04-01-1970 19:11:00;;;;;
124;Test Repair;Tester6;start;04-01-1970 19:11:00;;;;;
124;Test Repair;Tester6;complete;04-01-1970 19:20:00;;;1;true;
124;Archive Repair;System;complete;04-01-1970 19:26:00;;;1;true;
125;Register;System;complete;03-01-1970 18:37:00;;;;;
125;Analyze Defect;Tester2;start;03-01-1970 18:37:00;;;;;
125;Analyze Defect;Tester2;complete;03-01-1970 18:43:00;9;T2;;;
125;Repair (Complex);SolverC2;start;03-01-1970 19:02:00;;;;;
125;Repair (Complex);SolverC2;complete;03-01-1970 19:22:00;;;;;
125;Test Repair;Tester6;start;03-01-1970 19:22:00;;;;;
125;Test Repair;Tester6;complete;03-01-1970 19:28:00;;;0;false;
125;Inform User;System;complete;03-01-1970 19:30:00;;;;;
125;Restart Repair;System;complete;03-01-1970 19:36:00;;;;;
125;Repair (Complex);SolverC1;start;03-01-1970 19:36:00;;;;;
125;Repair (Complex);SolverC1;complete;03-01-1970 19:53:00;;;;;
125;Test Repair;Tester4;start;03-01-1970 19:53:00;;;;;
125;Test Repair;Tester4;complete;03-01-1970 20:00:00;;;0;true;
125;Archive Repair;System;complete;03-01-1970 20:10:00;;;0;true;
126;Register;System;complete;04-01-1970 21:47:00;;;;;
126;Analyze Defect;Tester2;start;04-01-1970 21:47:00;;;;;
126;Analyze Defect;Tester2;complete;04-01-1970 21:55:00;4;T2;;;
126;Repair (Simple);SolverS1;start;04-01-1970 22:11:00;;;;;
126;Repair (Simple);SolverS1;complete;04-01-1970 22:18:00;;;;;
126;Test Repair;Tester4;start;04-01-1970 22:18:00;;;;;
126;Test Repair;Tester4;complete;04-01-1970 22:27:00;;;1;false;
126;Inform User;System;complete;04-01-1970 22:30:00;;;;;
126;Restart Repair;System;complete;04-01-1970 22:34:00;;;;;
126;Repair (Simple);SolverS1;start;04-01-1970 22:34:00;;;;;
126;Repair (Simple);SolverS1;complete;04-01-1970 22:39:00;;;;;
126;Test Repair;Tester2;start;04-01-1970 22:39:00;;;;;
126;Test Repair;Tester2;complete;04-01-1970 22:44:00;;;2;false;
126;Restart Repair;System;complete;04-01-1970 22:51:00;;;;;
126;Repair (Simple);SolverS3;start;04-01-1970 22:51:00;;;;;
126;Repair (Simple);SolverS3;complete;04-01-1970 23:08:00;;;;;
126;Test Repair;Tester4;start;04-01-1970 23:08:00;;;;;
126;Test Repair;Tester4;complete;04-01-1970 23:16:00;;;3;true;
126;Archive Repair;System;complete;04-01-1970 23:24:00;;;3;true;
127;Register;System;complete;04-01-1970 16:34:00;;;;;
127;Analyze Defect;Tester6;start;04-01-1970 16:34:00;;;;;
127;Analyze Defect;Tester6;complete;04-01-1970 16:41:00;3;T1;;;
127;Repair (Simple);SolverS2;start;04-01-1970 17:05:00;;;;;
127;Repair (Simple);SolverS2;complete;04-01-1970 17:12:00;;;;;
127;Test Repair;Tester2;start;04-01-1970 17:12:00;;;;;
127;Inform User;System;complete;04-01-1970 17:14:00;;;;;
127;Test Repair;Tester2;complete;04-01-1970 17:20:00;;;1;true;
127;Archive Repair;System;complete;04-01-1970 17:25:00;;;1;true;
128;Register;System;complete;04-01-1970 18:17:00;;;;;
128;Analyze Defect;Tester1;start;04-01-1970 18:17:00;;;;;
128;Analyze Defect;Tester1;complete;04-01-1970 18:25:00;2;T2;;;
128;Repair (Simple);SolverS2;start;04-01-1970 18:44:00;;;;;
128;Inform User;System;complete;04-01-1970 18:49:00;;;;;
128;Repair (Simple);SolverS2;complete;04-01-1970 18:51:00;;;;;
128;Test Repair;Tester3;start;04-01-1970 18:51:00;;;;;
128;Test Repair;Tester3;complete;04-01-1970 18:59:00;;;1;true;
128;Archive Repair;System;complete;04-01-1970 19:08:00;;;1;true;
129;Register;System;complete;03-01-1970 20:16:00;;;;;
129;Analyze Defect;Tester2;start;03-01-1970 20:16:00;;;;;
129;Analyze Defect;Tester2;complete;03-01-1970 20:25:00;6;T1;;;
129;Repair (Complex);SolverC1;start;03-01-1970 20:36:00;;;;;
129;Inform User;System;complete;03-01-1970 20:48:00;;;;;
129;Repair (Complex);SolverC1;complete;03-01-1970 20:54:00;;;;;
129;Test Repair;Tester2;start;03-01-1970 20:54:00;;;;;
129;Test Repair;Tester2;complete;03-01-1970 21:03:00;;;0;true;
129;Archive Repair;System;complete;03-01-1970 21:10:00;;;0;true;
13;Register;System;complete;01-01-1970 07:35:00;;;;;
13;Analyze Defect;Tester6;start;01-01-1970 07:35:00;;;;;
13;Analyze Defect;Tester6;complete;01-01-1970 07:42:00;7;T1;;;
13;Repair (Complex);SolverC3;start;01-01-1970 08:05:00;;;;;
13;Inform User;System;complete;01-01-1970 08:25:00;;;;;
13;Repair (Complex);SolverC3;complete;01-01-1970 08:45:00;;;;;
13;Test Repair;Tester4;start;01-01-1970 08:45:00;;;;;
13;Test Repair;Tester4;complete;01-01-1970 08:54:00;;;0;true;
13;Archive Repair;System;complete;01-01-1970 09:01:00;;;0;true;
130;Register;System;complete;04-01-1970 08:30:00;;;;;
130;Analyze Defect;Tester4;start;04-01-1970 08:30:00;;;;;
130;Analyze Defect;Tester4;complete;04-01-1970 08:39:00;1;T2;;;
130;Repair (Simple);SolverS1;start;04-01-1970 09:09:00;;;;;
130;Repair (Simple);SolverS1;complete;04-01-1970 09:15:00;;;;;
130;Test Repair;Tester5;start;04-01-1970 09:15:00;;;;;
130;Test Repair;Tester5;complete;04-01-1970 09:25:00;;;1;false;
130;Inform User;System;complete;04-01-1970 09:26:00;;;;;
130;Restart Repair;System;complete;04-01-1970 09:31:00;;;;;
130;Repair (Simple);SolverS2;start;04-01-1970 09:31:00;;;;;
130;Repair (Simple);SolverS2;complete;04-01-1970 09:42:00;;;;;
130;Test Repair;Tester2;start;04-01-1970 09:42:00;;;;;
130;Test Repair;Tester2;complete;04-01-1970 09:52:00;;;2;true;
130;Archive Repair;System;complete;04-01-1970 10:02:00;;;2;true;
131;Register;System;complete;03-01-1970 16:10:00;;;;;
131;Analyze Defect;Tester4;start;03-01-1970 16:10:00;;;;;
131;Analyze Defect;Tester4;complete;03-01-1970 16:19:00;10;T2;;;
131;Repair (Complex);SolverC3;start;03-01-1970 16:21:00;;;;;
131;Inform User;System;complete;03-01-1970 16:57:00;;;;;
131;Repair (Complex);SolverC3;complete;03-01-1970 17:01:00;;;;;
131;Test Repair;Tester5;start;03-01-1970 17:01:00;;;;;
131;Test Repair;Tester5;complete;03-01-1970 17:09:00;;;0;true;
131;Archive Repair;System;complete;03-01-1970 17:19:00;;;0;true;
132;Register;System;complete;04-01-1970 13:08:00;;;;;
132;Analyze Defect;Tester2;start;04-01-1970 13:08:00;;;;;
132;Analyze Defect;Tester2;complete;04-01-1970 13:16:00;7;T3;;;
